Filename,Side,Distance From Center,Area,Sigma D,Sigma S,Sigma C,gamma,Z line,Sigma Z,Iz,gamma Z,Model,CenterX,S10,d10,I11/I10,Avarage I11/I10 per fiber,Fitting error,comment
2014.tif,left,90.69027314486063,13051125.078827977,5.7427249799479405,3.5412253118535197,1.0,,,,,,Gaussian,1187.218857945642,90.69027314486063,-,0.6596828922972989,0.6794971029835022,0.02099968186570178,
2014.tif,left,157.0801608391979,8609603.939735053,,,,,,,,,,,,,,,,
2014.tif,right,90.69027314486063,12769427.370567013,5.516261340458646,3.7043991355931603,1.0,,,,,,,,,,0.6993113136697054,,,
2014.tif,right,157.0801608391979,8929805.02932111,,,,,,,,,,,,,,,,
