adapter,case_id,n_trials,success_rate,elapsed_mean,elapsed_std,elapsed_median,elapsed_iqr,chi2_mean,chi2_std,chi2_ratio_mean,chi2_ratio_std,r2_mean,r2_std,p_max_diff_mean,p_max_diff_std
lmfit-baseline-leastsq,eq_eq_F10_pCa8_SL21_0001_00003_e02466,5,1.0,0.03503511119633913,0.0004633971293030071,0.03477253392338753,0.0007079588249325752,10853523908.330612,0.0,1.0,0.0,0.9970712371728325,0.0,,
lmfit-baseline-leastsq,eq_eq_F10_pCa8_SL21_0002_00004_981c51,5,1.0,0.04164134245365858,0.0003014073370231592,0.04157358035445213,0.00038593821227550507,9844202765.16444,0.0,1.0,0.0,0.9969961235438884,0.0,,
lmfit-baseline-leastsq,eq_eq_P1_F1_tet_1_100_005__00005_b6e8e5,5,1.0,0.03509218133985996,0.00030177867389785906,0.03518987260758877,0.0004691462963819504,3718449.4688086985,0.0,1.0,0.0,0.9582292856673164,0.0,,
lmfit-baseline-leastsq,eq_eq_P1_F1_tet_1_100_005__00006_d72168,5,1.0,0.031275583803653716,0.000234295394866154,0.031292169354856014,0.0003742966800928116,3429098.6071453183,0.0,1.0,0.0,0.9586970107447754,0.0,,
lmfit-baseline-leastsq,eq_eq_P2_F5_849_1_094_data_00002_c60051,5,1.0,0.03375568445771933,0.0003203996018327157,0.03370325267314911,0.0006137890741229057,1306282.5729707533,0.0,1.0,0.0,0.9600299640156378,0.0,,
lmfit-baseline-leastsq,eq_eq_P2_F5_849_2_095_data_00001_8b1589,5,1.0,0.035824015736579895,0.00018554599736144955,0.03578991536051035,4.208087921142578e-05,1762009.5983680733,0.0,1.0,0.0,0.9567869906125811,0.0,,
lmfit-trf,eq_eq_F10_pCa8_SL21_0001_00003_e02466,5,1.0,0.013663800433278084,0.0004166101768145159,0.013471747748553753,0.00047238264232873917,11499428221.710766,0.0,1.0595110232248524,0.0,0.996896943500205,0.0,,
lmfit-trf,eq_eq_F10_pCa8_SL21_0002_00004_981c51,5,1.0,0.013542226515710354,0.00010269679699587835,0.013521973043680191,0.00018844660371541977,11648397620.034878,0.0,1.1832748570818674,0.0,0.996445588515703,0.0,,
lmfit-trf,eq_eq_P1_F1_tet_1_100_005__00005_b6e8e5,5,1.0,0.031199810467660426,3.977790880314134e-05,0.0312056764960289,5.1616691052913666e-05,3718449.486621036,0.0,1.0000000047902595,0.0,0.9582292854672237,0.0,,
lmfit-trf,eq_eq_P1_F1_tet_1_100_005__00006_d72168,5,1.0,0.03519927971065044,0.00028672472640022087,0.03505630977451801,0.00034624431282281876,3429098.606683407,0.0,0.9999999998652964,0.0,0.9586970107503392,0.0,,
lmfit-trf,eq_eq_P2_F5_849_1_094_data_00002_c60051,5,0.0,5.565480614081025,0.026446224905620253,5.5606875121593475,0.03800137899816036,1377325.2112018492,0.0,1.0543853525271567,0.0,0.9578561795181051,0.0,,
lmfit-trf,eq_eq_P2_F5_849_2_095_data_00001_8b1589,5,1.0,0.04668265469372272,0.0003596300541869215,0.0465178182348609,0.00024915020912885666,1762009.5982722882,0.0,0.9999999999456387,0.0,0.9567869906149301,0.0,,
lmfit-trf-jac,eq_eq_F10_pCa8_SL21_0001_00003_e02466,5,1.0,0.035536143369972704,0.0003499116634029178,0.035448359325528145,0.0004623737186193466,10853523900.022345,0.0,0.9999999992345096,0.0,0.9970712371750745,0.0,,
lmfit-trf-jac,eq_eq_F10_pCa8_SL21_0002_00004_981c51,5,1.0,0.038238081708550455,0.00032736083442793133,0.038182444870471954,0.00029709190130233765,9844202799.429949,0.0,1.0000000034807806,0.0,0.9969961235334326,0.0,,
lmfit-trf-jac,eq_eq_P1_F1_tet_1_100_005__00005_b6e8e5,5,1.0,0.04072523433715105,9.984179316823359e-05,0.040724826976656914,4.6016648411750793e-05,3718449.4701400483,0.0,1.000000000358039,0.0,0.9582292856523609,0.0,,
lmfit-trf-jac,eq_eq_P1_F1_tet_1_100_005__00006_d72168,5,1.0,0.04603119660168886,0.00031695109008937384,0.04624498542398214,0.0005411822348833084,3429098.619332333,0.0,1.0000000035539993,0.0,0.9586970105979848,0.0,,
lmfit-trf-jac,eq_eq_P2_F5_849_1_094_data_00002_c60051,5,1.0,0.03776366375386715,0.00014155140476055506,0.037697128020226955,0.00022382382303476334,1306282.5728781526,0.0,0.9999999999291113,0.0,0.9600299640184711,0.0,,
lmfit-trf-jac,eq_eq_P2_F5_849_2_095_data_00001_8b1589,5,1.0,0.04532272163778543,0.0002622817002494737,0.04531657975167036,0.00014189723879098892,1762009.5979612456,0.0,0.9999999997691115,0.0,0.9567869906225583,0.0,,
