case_id,box_name,n_peaks,model_kind,has_voigt,use_common_sigma,bgsub,n_free,tags,adapter,trial,perturb_init,success,converged,aborted,elapsed_s,n_eval,chi2,redchi,r2,ref_chi2,ref_r2,ref_elapsed_s,chi2_ratio,speed_ratio,p_max_abs_diff,amp_max_rel_diff,error
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,0,0.05,True,True,False,0.030632582493126392,134,146386.92378935986,100.12785484908335,0.9977711687252507,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000597327,1.0424270192997807,1.2211430714614835e-05,2.0003450067598908e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,1,0.05,True,True,False,0.031152434647083282,143,146386.92378446605,100.12785484573601,0.9977711687253253,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000263018,1.0601175921219528,6.39232541743695e-06,1.1285454585031895e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,2,0.05,True,True,False,0.026907727122306824,122,146386.9237880324,100.12785484817537,0.997771168725271,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000506646,0.9156701622049699,1.5154451489252097e-05,2.0158377390955856e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,3,0.05,True,True,False,0.02782473061233759,126,146386.92379961547,100.12785485609814,0.9977711687250946,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000001297908,0.9468757980672012,2.0342406003237556e-05,3.4450139231016103e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,4,0.05,True,True,False,0.028183456510305405,124,146386.92378469172,100.12785484589037,0.9977711687253219,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000278435,0.9590832431511453,7.734571795481315e-06,1.2365060263389586e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,5,0.05,True,True,False,0.03015006147325039,134,146386.92378931685,100.12785484905393,0.9977711687252514,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000594387,1.0260068252592782,1.2451387192413677e-05,2.0523368163892586e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,6,0.05,True,True,False,0.03175421245396137,145,146386.92378109222,100.12785484342834,0.9977711687253766,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000032545,1.0805960955470377,8.469979377423442e-06,1.3079964240433551e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,7,0.05,True,True,False,0.025990594178438187,114,146386.92378625012,100.12785484695631,0.9977711687252981,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000384892,0.8844601210276338,1.0001580790230946e-05,1.735712362022658e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,8,0.05,True,True,False,0.029529990628361702,133,146386.92378549956,100.12785484644293,0.9977711687253096,146386.9237806158,0.997771168725384,0.029385829344391823,1.000000000033362,1.0049058096091268,7.660066216885753e-06,1.2588061710000188e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,9,0.05,True,True,False,0.027289538644254208,123,146386.92379982964,100.12785485624462,0.9977711687250914,146386.9237806158,0.997771168725384,0.029385829344391823,1.000000000131254,0.9286632112515931,2.313415086518944e-05,3.0383075810443685e-06,
