adapter,n_fits,success_rate,aborted_rate,elapsed_median,elapsed_mean,elapsed_std,elapsed_iqr,speed_ratio_median,chi2_ratio_median,chi2_ratio_mean,chi2_ratio_std,r2_median,r2_mean,r2_std,p_max_diff_median,p_max_diff_p95,amp_diff_median
lmfit-trf-poisson,25,1.0,0.0,0.037933534011244774,0.06834639053791762,0.046973660049712755,0.0751294456422329,0.6922727335431972,0.010853034768811252,0.027045820704412825,0.025930038879046116,0.9643087382449388,0.9350329270720361,0.09061834428826622,0.11708848029888941,1.130763907898654,0.30347236872106254
lmfit-trf,25,1.0,0.0,0.057892825454473495,0.06113070599734783,0.0462866780684287,0.04214425943791866,0.44392749871957754,0.9999999883815921,0.999999863761465,2.3804800668119913e-07,0.9960318970471624,0.9553164769744226,0.06971762973122399,9.51491408613947e-05,0.03020022292315616,5.854257132358304e-06
lmfit-baseline-leastsq,25,1.0,0.0,0.15174987819045782,0.14376427080482246,0.0876314743134331,0.10714010149240494,0.9934183838332793,1.0,1.0,0.0,0.9960318970356756,0.9553164704043968,0.06971763389294039,0.0,0.0,0.0
lmfit-poisson,25,0.8,0.2,0.20097448211163282,1.8493798100948333,3.145322900480505,1.0007170364260674,1.1452380413601406,0.022049820239209594,0.02958592086027661,0.024335873020701972,0.964809119859834,0.9137588041683264,0.09445593816605884,0.1170935806541138,3.89757344406803,0.3034723760012256
