case_id,box_name,n_peaks,model_kind,has_voigt,use_common_sigma,bgsub,n_free,tags,adapter,trial,perturb_init,success,converged,aborted,elapsed_s,n_eval,chi2,redchi,r2,ref_chi2,ref_r2,ref_elapsed_s,chi2_ratio,speed_ratio,p_max_abs_diff,amp_max_rel_diff,error
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,0,0.15,True,True,False,0.031943569891154766,135,146386.9237884446,100.12785484845732,0.9977711687252647,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000534803,1.0870399306001237,1.0444036092849274e-05,1.7967491773558386e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,1,0.15,True,True,False,0.03124832734465599,136,146386.923781468,100.12785484368537,0.997771168725371,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000058218,1.0633808213624443,1.1409607566292834e-05,1.750727745217209e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,2,0.15,True,True,False,0.024886599741876125,103,146386.92378371343,100.12785484522122,0.9977711687253368,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000211606,0.8468911818078615,6.0142209576952155e-06,9.893985121987807e-07,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,3,0.15,True,True,False,0.03670775890350342,164,146386.9237802165,100.12785484282934,0.99777116872539,146386.9237806158,0.997771168725384,0.029385829344391823,0.9999999999972723,1.2491653195593393,1.7891040897666244e-06,2.3787460739858491e-07,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,4,0.15,True,True,False,0.027078399434685707,113,146386.92378087266,100.12785484327816,0.99777116872538,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000017548,0.921478142316018,6.348251986310061e-07,1.2043142108082936e-07,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,5,0.15,True,True,False,0.029877296648919582,123,146386.92378140197,100.1278548436402,0.997771168725372,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000053706,1.016724636176435,2.8799104825338873e-06,4.577098719768401e-07,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,6,0.15,True,True,False,0.021537233144044876,92,146386.92378017545,100.12785484280127,0.9977711687253906,146386.9237806158,0.997771168725384,0.029385829344391823,0.999999999996992,0.7329122105636667,5.045539296588686e-06,5.587780241294359e-07,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,7,0.15,True,True,False,0.02500099502503872,105,146386.9238009037,100.12785485697927,0.997771168725075,146386.9237806158,0.997771168725384,0.029385829344391823,1.000000000138591,0.850784054179164,2.409519714774433e-05,3.189914781047116e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,8,0.15,True,True,False,0.026285131461918354,113,146386.9237994484,100.12785485598387,0.9977711687250972,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000001286495,0.894483227063822,1.9538703270427504e-05,3.203974148455626e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,9,0.15,True,True,False,0.026840590871870518,113,146386.92380557908,100.12785486017721,0.9977711687250038,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000001705296,0.91338551508307,2.2844082025130774e-05,3.74788399646706e-06,
