adapter,case_id,param_name,n_trials,ref_value,cand_mean,cand_std,cand_min,cand_max,diff_mean,diff_std,abs_diff_mean,abs_diff_max,rel_diff_mean,rel_diff_std
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,amplitude0,10,1793.1203882904592,1793.1194751752653,0.0036663262761333884,1793.1136678832522,1793.12610819169,-0.000913115193907288,0.003666326276126538,0.0026657904718376813,0.006720407207012613,-5.092325087987213e-07,2.0446626451121734e-06
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,amplitude1,10,14992.989335048138,14992.99090377318,0.005751661863098782,14992.98085077158,14993.000151142889,0.0015687250423070509,0.005751661862866916,0.004210083300495171,0.010816094751135097,1.0463057147916086e-07,3.8362342120938015e-07
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,amplitude2,10,15002.634368252506,15002.635331508684,0.004913674274629215,15002.627138504376,15002.642696562376,0.0009632561768739833,0.004913674274916152,0.0037931011598629993,0.008328309870194062,6.420580234311093e-08,3.2752076430750825e-07
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,amplitude3,10,1794.2474830009126,1794.2469908778935,0.003127768120462602,1794.2424104747138,1794.2524426980888,-0.000492123019103019,0.003127768120441875,0.002398188620190922,0.00507252619877363,-2.742782273713624e-07,1.7432200128884252e-06
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,common_sigma,10,2.0281922097858196,2.0281924503712703,6.20050486023427e-07,2.028191608782222,2.0281934913107627,2.4058545053939897e-07,6.200504859950444e-07,4.75397829058366e-07,1.281524943053114e-06,1.1862063633742345e-07,3.057158404432106e-07
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,p_0,10,-300.7812495426557,-300.7812520195501,1.3340975621109416e-05,-300.7812723867377,-300.78122544745855,-2.4768943944764032e-06,1.3340975619299384e-05,9.24076273349783e-06,2.409519714774433e-05,8.234869687663622e-09,4.43544125160216e-08
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,p_1,10,-295.589199387215,-295.5891995348453,1.0429261284296578e-06,-295.5892010792378,-295.58919739674764,-1.4763031117581704e-07,1.0429261271757979e-06,7.216566530132695e-07,1.990467353607528e-06,4.994441998620685e-10,3.5282957879986303e-09
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,p_2,10,294.8530579885017,294.85305798131964,8.308052576907588e-07,294.85305631059344,294.8530590472699,-7.182052286225371e-09,8.308052602592577e-07,6.14853024671902e-07,1.6779082443463267e-06,-2.435807291680001e-11,2.817692534467987e-09
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,p_3,10,300.03170797145725,300.0317080546421,9.951206063713017e-06,300.03168900468387,300.0317208541011,8.318480695379549e-08,9.95120607220779e-06,7.525389673901373e-06,1.896677338208974e-05,2.772533860378164e-10,3.316718136055964e-08
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude0,10,43.181502951977485,43.18151247598758,6.223165554263922e-06,43.18150252095628,43.1815202827137,9.52401009328696e-06,6.223165553715432e-06,9.610214334543343e-06,1.7330736213239106e-05,2.2055763329680056e-07,1.4411646488164775e-07
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude1,10,234.4054566645264,234.405599230186,0.00011645965290541471,234.40541490052962,234.4057370316285,0.0001425656595728242,0.00011645965290644381,0.0001509184589309598,0.0002803671020785714,6.082011127277622e-07,4.96829956791992e-07
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude2,10,679.4201462092967,679.4200587570338,0.0006710117726084864,679.4192324819487,679.4209646605872,-8.745226288056073e-05,0.0006710117725970933,0.0005970933729827266,0.0009137273480064323,-1.2871602846704655e-07,9.87624191512253e-07
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude3,10,34.330164023774124,34.33018102402948,0.00016402179137875572,34.3299316393345,34.330368554739096,1.7000255355981152e-05,0.00016402179137868273,0.0001464793482540472,0.00023238443962725341,4.951987804138726e-07,4.777774765803487e-06
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude4,10,31.02363434337704,31.023623188258505,0.00012733302130621375,31.023440361044187,31.023784671428288,-1.1155118532002462e-05,0.00012733302130622052,0.00010984132396245627,0.0001939823328527268,-3.595683989997733e-07,4.104387638690813e-06
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude5,10,680.0689620938707,680.0689089148744,0.0006703847312864391,680.0680866603713,680.0697795140142,-5.3178996279257265e-05,0.0006703847312811292,0.0005804272409363875,0.0008754334994591773,-7.819647600961521e-08,9.857599282535632e-07
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude6,10,227.27679158249316,227.27703702390463,0.00016214571963362397,227.2766926715861,227.27720408691152,0.00024544141146236597,0.00016214571963674786,0.00026522359287639574,0.0004125044183638238,1.0799228982132112e-06,7.134284081878852e-07
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,amplitude7,10,45.288419583539245,45.28843681196467,7.657640200944498e-06,45.28842683122856,45.28844691026311,1.7228425427617822e-05,7.657640202152441e-06,1.7228425427617822e-05,2.7326723866849534e-05,3.804156909436458e-07,1.690860549467203e-07
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,common_sigma,10,1.6956863470323735,1.6956868517386625,2.572035266108052e-06,1.6956837302970906,1.695690200296553,5.047062889396159e-07,2.57203526610895e-06,2.2032967893270693e-06,3.853264179509708e-06,2.976413001277649e-07,1.516810741921864e-06
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,p_0,10,-601.3983372518763,-601.3983360025029,3.6789571195365596e-06,-601.3983409356674,-601.3983313544825,1.2493734175222927e-06,3.678957114590998e-06,3.220977237106126e-06,5.897393862142053e-06,-2.0774474090357067e-09,6.117338354146771e-09
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,p_1,10,-594.8325146268769,-594.8325117477614,1.5278478976220206e-06,-594.8325138973067,-594.8325097070726,2.879115515952435e-06,1.527847886195677e-06,2.879115515952435e-06,4.919804268865846e-06,-4.840212068364202e-09,2.56853458515807e-09
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,p_2,10,-590.7091073679618,-590.7091060576988,2.022619649344721e-06,-590.7091085239792,-590.709103051881,1.310262950937613e-06,2.0226196458261666e-06,1.8398083284409949e-06,4.3160807763342746e-06,-2.2181187569221445e-09,3.4240536003218348e-09
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,p_3,10,-584.702716759828,-584.7026440953671,0.00016718377258792333,-584.7028171219993,-584.7024064399765,7.266446087896838e-05,0.0001671837725717752,0.00014342075777449282,0.00031031985156459996,-1.2427590773246907e-07,2.859295292798296e-07
